order_id,product_id,quantity,unit_price,discount_amount,promo_id,promo_id_2,category,segment,size,cogs,order_date,payment_method,order_status,order_source,zip,region,promo_name,promo_type,discount_value,promo_channel,stackable_flag,order_year,order_month,order_dow,gross_revenue,net_revenue,line_cogs,gross_profit,discount_rate,has_promo
1,2400,7,1138.22,0.0,,,GenZ,Trendy,S,1053.798008379888,2012-07-04,credit_card,delivered,paid_search,1109,East,,,,,,2012,7,2,7967.54,7967.54,7376.586058659215,590.9539413407847,0.0,0
2,609,7,10166.25,0.0,,,Streetwear,Everyday,M,8987.704230926174,2012-07-04,cod,returned,paid_search,1330,East,,,,,,2012,7,2,71163.75,71163.75,62913.92961648322,8249.82038351678,0.0,0
3,396,3,11220.33,0.0,,,Streetwear,Balanced,S,10091.01225565364,2012-07-04,credit_card,delivered,direct,1473,East,,,,,,2012,7,2,33660.99,33660.99,30273.036766960922,3387.9532330390757,0.0,0
4,635,5,10639.25,0.0,,,Streetwear,Everyday,XL,9205.430477941176,2012-07-04,credit_card,delivered,referral,2360,East,,,,,,2012,7,2,53196.25,53196.25,46027.15238970588,7169.09761029412,0.0,0
6,1935,1,1597.84,0.0,,,Outdoor,Activewear,XL,1048.696357245283,2012-07-06,paypal,delivered,email_campaign,2886,East,,,,,,2012,7,4,1597.84,1597.84,1048.696357245283,549.1436427547169,0.0,0
7,1934,6,1633.49,0.0,,,Outdoor,Activewear,L,1337.8364643396226,2012-07-06,credit_card,delivered,organic_search,2886,East,,,,,,2012,7,4,9800.94,9800.94,8027.0187860377355,1773.921213962265,0.0,0
8,1934,6,1602.92,0.0,,,Outdoor,Activewear,L,1337.8364643396226,2012-07-06,credit_card,delivered,email_campaign,2886,East,,,,,,2012,7,4,9617.52,9617.52,8027.0187860377355,1590.501213962265,0.0,0
8,1935,4,1642.51,0.0,,,Outdoor,Activewear,XL,1048.696357245283,2012-07-06,credit_card,delivered,email_campaign,2886,East,,,,,,2012,7,4,6570.04,6570.04,4194.785428981132,2375.254571018868,0.0,0
9,1432,8,4049.64,0.0,,,Outdoor,Activewear,S,3889.053,2012-07-06,apple_pay,delivered,paid_search,5262,East,,,,,,2012,7,4,32397.12,32397.12,31112.424,1284.696,0.0,0
10,1431,5,3977.37,0.0,,,Outdoor,Activewear,XL,2673.21222,2012-07-06,paypal,delivered,organic_search,5262,East,,,,,,2012,7,4,19886.85,19886.85,13366.061099999999,6520.7889,0.0,0
13,604,6,6006.28,0.0,,,Streetwear,Everyday,S,4141.940240558514,2012-07-06,credit_card,delivered,social_media,7456,East,,,,,,2012,7,4,36037.68,36037.68,24851.641443351087,11186.038556648913,0.0,0
15,574,4,10833.53,0.0,,,Streetwear,Everyday,L,10134.58676494369,2012-07-06,credit_card,shipped,paid_search,7726,East,,,,,,2012,7,4,43334.12,43334.12,40538.34705977476,2795.7729402252444,0.0,0
16,1668,1,5074.15,0.0,,,Streetwear,Standard,S,2678.950638,2012-07-05,cod,delivered,social_media,7830,East,,,,,,2012,7,3,5074.15,5074.15,2678.950638,2395.199362,0.0,0
17,2352,5,4407.64,0.0,,,Streetwear,Performance,S,3680.968519087248,2012-07-05,cod,delivered,email_campaign,8016,East,,,,,,2012,7,3,22038.2,22038.2,18404.84259543624,3633.3574045637615,0.0,0
18,676,3,9985.76,0.0,,,Streetwear,Everyday,S,9195.696775606715,2012-07-06,credit_card,delivered,organic_search,8075,East,,,,,,2012,7,4,29957.28,29957.28,27587.090326820144,2370.189673179855,0.0,0
20,2240,8,1064.38,0.0,,,Outdoor,Activewear,S,1005.3527840240964,2012-07-04,credit_card,delivered,organic_search,8620,East,,,,,,2012,7,2,8515.04,8515.04,8042.822272192771,472.2177278072295,0.0,0
20,2241,4,1069.75,0.0,,,Outdoor,Activewear,M,622.646635879518,2012-07-04,credit_card,delivered,organic_search,8620,East,,,,,,2012,7,2,4279.0,4279.0,2490.586543518072,1788.4134564819278,0.0,0
