Date,Revenue,COGS,east_rev,total_rev_reg,east_share,senior_share,standard_share,promo_rate,avg_discount,n_returns,refund_total,n_orders,return_rate,pay_credit_card_share,pay_cod_share,pay_bank_transfer_share,device_mobile_share,device_desktop_share,aov,avg_qty,acq_email_campaign_share,acq_social_media_share,acq_organic_search_share,web_sessions,web_visitors,web_bounce,web_duration,avg_rating,n_reviews,avg_delivery_days,avg_shipping_fee
2012-07-04,5123547.94,3982991.19,2160699.280000001,5123547.940000001,0.4217193447398485,0.10493827160493827,0.019471050367492027,0.0,0.0,0.0,0.0,162,0.0,0.5246913580246914,0.13580246913580246,0.030864197530864196,0.42592592592592593,0.41358024691358025,31626.839135802467,4.4655172413793105,0.10493827160493827,0.24074074074074073,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,3.905510204081633
2012-07-05,2751773.45,2150580.23,1043522.49,2751773.45,0.3792181692864287,0.08247422680412371,0.001843956303888316,0.0,0.0,0.0,0.0,97,0.0,0.4845360824742268,0.16494845360824742,0.09278350515463918,0.3917525773195876,0.44329896907216493,28368.798453608248,4.155339805825243,0.13402061855670103,0.1958762886597938,0.28865979381443296,0.0,0.0,0.0,0.0,0.0,0.0,4.724137931034483,3.7351724137931033
2012-07-06,3054029.42,2517632.84,1671006.79,3054029.42,0.5471482295019935,0.07526881720430108,0.012854309700788671,0.0,0.0,0.0,0.0,93,0.0,0.6451612903225806,0.11827956989247312,0.010752688172043012,0.45161290322580644,0.45161290322580644,32839.02602150538,4.454545454545454,0.12903225806451613,0.22580645161290322,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,4.417721518987341,2.9865822784810128
2012-07-07,2667930.94,2108246.62,1650532.4000000001,2667930.9400000004,0.6186563434809148,0.0958904109589041,0.010670201230920918,0.0,0.0,0.0,0.0,73,0.0,0.547945205479452,0.1917808219178082,0.0136986301369863,0.4657534246575342,0.3561643835616438,36546.999178082195,4.8533333333333335,0.0958904109589041,0.1232876712328767,0.3835616438356164,0.0,0.0,0.0,0.0,0.0,0.0,4.403225806451613,3.9987096774193547
2012-07-08,2360851.9,1808622.79,971938.45,2360851.9,0.41168971675012733,0.06818181818181818,0.026943587609201573,0.0,0.0,0.0,0.0,88,0.0,0.5681818181818182,0.09090909090909091,0.056818181818181816,0.5113636363636364,0.3409090909090909,26827.8625,4.191489361702128,0.11363636363636363,0.20454545454545456,0.29545454545454547,0.0,0.0,0.0,0.0,0.0,0.0,4.371794871794871,5.743333333333333
2012-07-09,3548386.46,2787841.68,1806142.6500000004,3548386.4600000004,0.5090039290703415,0.0948905109489051,0.023266653993488637,0.0,0.0,0.0,0.0,137,0.0,0.5328467153284672,0.145985401459854,0.0072992700729927005,0.44525547445255476,0.3795620437956204,25900.631094890516,4.649681528662421,0.16058394160583941,0.1678832116788321,0.31386861313868614,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.862086956521739
2012-07-10,5234938.62,4044438.84,2300064.0500000007,5234938.62,0.4393679118247237,0.1092896174863388,0.02131462813598376,0.0,0.0,0.0,0.0,183,0.0,0.5683060109289617,0.15300546448087432,0.07103825136612021,0.44808743169398907,0.39344262295081966,28606.22196721312,4.571428571428571,0.15300546448087432,0.2185792349726776,0.26229508196721313,0.0,0.0,0.0,0.0,5.0,1.0,4.175324675324675,3.1287662337662336
2012-07-11,5582884.78,4338313.07,2675933.5300000003,5582884.78,0.47931018379354773,0.09954751131221719,0.017102779971755033,0.0,0.0,1.0,6493.75,221,0.004524886877828055,0.5203619909502263,0.167420814479638,0.05429864253393665,0.5067873303167421,0.34841628959276016,25261.922081447967,4.51440329218107,0.12217194570135746,0.17647058823529413,0.2986425339366516,0.0,0.0,0.0,0.0,0.0,0.0,4.568527918781726,4.314263959390863
2012-07-12,5734632.02,4458811.27,2119466.02,5734632.02,0.36959058795894634,0.08130081300813008,0.03741155827466677,0.0,0.0,1.0,4834.0,246,0.0040650406504065045,0.556910569105691,0.14634146341463414,0.056910569105691054,0.4105691056910569,0.4146341463414634,23311.512276422764,4.512727272727273,0.14634146341463414,0.2073170731707317,0.34146341463414637,0.0,0.0,0.0,0.0,5.0,1.0,4.348623853211009,4.531880733944954
2012-07-13,5309511.71,4143402.78,2160554.21,5309511.710000001,0.40692145116297324,0.12437810945273632,0.030906084958987688,0.0,0.0,0.0,0.0,201,0.0,0.5422885572139303,0.16417910447761194,0.029850746268656716,0.4925373134328358,0.3880597014925373,26415.481144278612,4.461883408071749,0.10945273631840796,0.22388059701492538,0.32338308457711445,0.0,0.0,0.0,0.0,4.5,2.0,4.479768786127168,4.196647398843931
